 File 	 檔案 
 Action 	 動作 
 Speed 	 速度 
 Sound 	 音效 
 About KQI	 關於 KQI
 Help	 說明
 Save Game	 儲存進度
 Restore Game	 讀取進度
 Restart Game	 重新開始
 Quit	 離開
 Duck	 蹲下
 Jump	 跳躍
 Pause Game	 暫停遊戲
 Inventory	 物品欄
 Retype	 重新輸入
 Change...	 變更...
 Faster	 較快
 Normal	 正常
 Slower	 較慢
 Volume...	 音量...
 Turn sound Off	 關閉音效
 Turn sound On	 開啟音效
"Ye best be careful, young Graham.  The mystic protective spell of mine has weakened and departed."	年輕的格拉漢啊，你可得小心了。我那道守護的魔法已經減弱，如今已經消散了。
The spell to make you invisible has expired and you are once again visible to dangerous creatures but, the ring has now disappeared.  The guards appear surprised at your sudden appearance.	隱身魔法已經失效，你再次現形，可能被危險的生物看見；魔戒也已經消失無蹤。衛兵們對你突然出現感到十分驚訝。
The spell to make you invisible has expired and you are once again visible to dangerous creatures but, the ring has now disappeared.	隱身魔法已經失效，你再次現形，可能被危險的生物看見；魔戒也已經消失無蹤。
Memory fragmented.	記憶體破碎。
You see the thick green tendrils of the beanstalk stretching even further to the sky above you.	你看見豆莖粗壯的綠色藤蔓，向著頭頂上方的天空延伸得更遠。
The sky isn't visible from here.	從這裡看不到天空。
Above you, you can see the blue sky of Daventry.  It's partly cloudy, with a high in the mid seventies.	抬頭望去，你看見戴凡確王國蔚藍的天空，局部多雲，最高溫約在華氏七十度上下。
As you gaze into the magic mirror, you see a reflection of yourself as King of this land of Daventry.	你凝視著魔鏡，鏡中映出自己成為戴凡確王國國王的模樣。
You don't have the magic mirror.	你身上沒有魔鏡。
The goat doesn't seem to be interested in you.	山羊似乎對你沒什麼興趣。
There is no goat here.	這裡沒有山羊。
The goat is not much for conversation.	山羊不太會聊天。
The goat is too heavy to carry around.	山羊太重了，帶不走。
Just type "USE THE SLINGSHOT".	只要輸入 "USE THE SLINGSHOT" 即可。
You shouldn't drop that, Sir Graham.   You may need it.	格拉漢爵士，你不該丟掉那個，也許用得到。
You don't care for sushi, Sir Graham.	格拉漢爵士，你對壽司沒什麼興趣。
You won't need a dead fish on your quest.	你的冒險用不到一條死魚。
You don't see any fish here.	這裡沒有看到魚。
You already have it.	你已經拿到了。
You have already opened the walnut.	你已經打開過胡桃了。
When you open the walnut, you discover the nut inside is pure gold!	你打開胡桃，發現裡頭的果仁竟是純金打造！
Don't do that!  This walnut is not edible since it is pure gold.	別這麼做！這顆胡桃是純金的，不能吃。
Ouch!  It would be much easier if you opened the walnut first.	哎呦！要是先打開胡桃會容易得多。
You'd break your teeth on this walnut!  Then you'd REALLY need a gold crown!	你會被這顆胡桃崩掉牙齒！到時候你就真的需要一頂「金冠」了！
You don't have a walnut to bite.	你身上沒有胡桃可以咬。
The ring is already on your finger.	戒指已經戴在你的手指上了。
You can't do that without letting go, which would be a terrible mistake.	你不放手就做不到這件事，而放手將是個可怕的錯誤。
You place the shimmering ring upon your finger.	你把閃閃發光的戒指戴上手指。
You are already invisible	你已經是隱形狀態了
Nothing happens.	什麼事也沒發生。
You'll have to stand up if you want to invoke the ring's power.	你得先站起來，才能發動戒指的力量。
For the full effect of the ring, you will need to step out of the water.	要讓戒指完全發揮效果，你得先離開水中。
As you rub the shimmering ring, you turn invisible!	你摩擦閃閃發光的戒指，瞬間隱形了！
The goat doesn't seem to see you anymore.	山羊似乎再也看不見你了。
The magic ring is still in your pocket.  You can't rub it there.	魔戒還放在你的口袋裡，這樣沒辦法摩擦它。
You aren't wearing the ring, Sir Graham.	格拉漢爵士，你並沒有戴著戒指。
You're using your hands to hang on for dear life!	你正用雙手死命抓住，保住性命！
You remove the shimmering ring from your finger.	你把閃閃發光的戒指從手指上取下。
This egg will be tough to crack.	這顆蛋恐怕不好敲開。
Oddly enough, this egg has no shell.  It's 24-karat gold, through and through.	說也奇怪，這顆蛋根本沒有蛋殼，從裡到外都是24K純金。
You would need more than your bare hands to crack a solid gold egg...and anyway, there's nothing inside it except more gold.	光靠雙手可敲不開一顆實心金蛋……況且裡頭除了金子什麼也沒有。
You have already eaten the stew.	你已經吃過燉肉了。
Mmm!  You can detect the aromas of delicious carrots (from the King's garden), potatoes, green peppers, celery, onions, and fresh dragon meat...along with a hint of imported spice.	嗯！你聞到美味的香氣：胡蘿蔔（來自國王的菜園）、馬鈴薯、青椒、芹菜、洋蔥，還有新鮮的龍肉……以及一絲進口香料的味道。
You can't eat while swimming	你沒辦法邊游泳邊吃東西
It's not a good idea to eat while you're swimming.  Even knights can get muscle cramps!	邊游泳邊吃東西可不是個好主意，就連騎士也會抽筋的！
You can't do that and swim at the same time!	你沒辦法一邊游泳一邊做這件事！
You can't find your mouth while you're invisible!	你隱形的時候，連自己的嘴巴都找不到！
You eat every bite of the delicious stew.	你把美味的燉肉吃得一乾二淨。
You've already eaten the mushroom, Sir Graham.	格拉漢爵士，你已經吃過蘑菇了。
Seeing how much the goat likes that carrot, eating it may be hazardous to your health.	看山羊這麼愛那根胡蘿蔔，你要是吃了恐怕對健康不利。
You already ate the carrot.	你已經吃過胡蘿蔔了。
Mmmm!  There's nothing like a crisp, fresh carrot.	嗯～沒有什麼比得上一根爽脆新鮮的胡蘿蔔。
You already ate the beans.	你已經吃過那些豆子了。
The magic beans tingle as they go down.  Now, why did you do that?	魔豆吞下去時刺刺麻麻的。話說回來，你幹嘛要吃它？
Mmmm!  That Swiss cheese was as delicious as it looked.	嗯～那塊瑞士乳酪真如它看起來一樣美味。
Just the thought of eating that would make braver knights lose their appetites!	光是想到要吃那個，就連更勇敢的騎士也會沒了胃口！
Is there anything in particular you'd like to eat?	你特別想吃點什麼嗎？
There are no birds here.	這裡沒有鳥。
You are standing.	你已經站著了。
You can't stand now.	你現在沒辦法站起來。
You'll need to be in the water before you can swim!	你得先進到水裡才能游泳！
You'll need to be swimming before you can dive into the water!	你得先游泳，才能潛入水中！
There's nothing inside there you'll need.	裡面沒有你需要的東西。
The deep water makes it impossible for you to climb out.	水太深了，讓你沒辦法爬出去。
The walls are too damp and sheer. There's no way to climb out of that hole.	洞壁又濕又陡，根本沒辦法從那個洞裡爬出去。
There is nothing up there you'll need.	上面沒有你需要的東西。
You can't plant them there.  They need special soil.	你不能把它們種在那裡，它們需要特殊的土壤。
