The Leprechaun King, not understanding your words, ignores you.	The Leprechaun King, not understanding your words, ignores you.
You take the magic shield.  Congratulations!	You take the magic shield.  Congratulations!
The Leprechaun King took his sceptre with him.	The Leprechaun King took his sceptre with him.
You take the Leprechaun King's jewelled sceptre.	You take the Leprechaun King's jewelled sceptre.
The Leprechaun King is just too cute to hurt.	The Leprechaun King is just too cute to hurt.
Overhearing the fiddle music you played in the hallway, the Leprechauns have begun to dance!  As they do, they pop away in a fit of merrymaking.	Overhearing the fiddle music you played in the hallway, the Leprechauns have begun to dance!  As they do, they pop away in a fit of merrymaking.
The Leprechauns, sensing the power of your four-leaf clover, begin to vanish.	The Leprechauns, sensing the power of your four-leaf clover, begin to vanish.
The King of the Leprechauns is dancing away!  Even the King enjoys a good party.	The King of the Leprechauns is dancing away!  Even the King enjoys a good party.
The small hole leads to the outside world.	The small hole leads to the outside world.
This is a small cave with a path on one side and a very small hole on the other side.	This is a small cave with a path on one side and a very small hole on the other side.
The path is very steep and narrow.	The path is very steep and narrow.
Go ahead.  Walk right in.	Go ahead.  Walk right in.
You are much too big to fit through that small hole.	You are much too big to fit through that small hole.
If there was something of value in there, the woodcutter and his wife would not be starving to death.	If there was something of value in there, the woodcutter and his wife would not be starving to death.
The woodcutter is mildly impressed with your appearance, but he is too concerned with the plight of his poor wife to make idle chatter.	The woodcutter is mildly impressed with your appearance, but he is too concerned with the plight of his poor wife to make idle chatter.
The woodcutter is surprised by your sudden appearance, but quickly he recognizes you.	The woodcutter is surprised by your sudden appearance, but quickly he recognizes you.
You have already helped the woodcutter and his wife as much as you are able.	You have already helped the woodcutter and his wife as much as you are able.
That would be a very nice gesture.  But how do you intend to do that?	That would be a very nice gesture.  But how do you intend to do that?
The woodcutter is feeding his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.	The woodcutter is feeding his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.
